Victoria,['0' '0'],[3191998.       0.],[3191998.       0.]
Mustang,['1300000'],[250000.],[-1050000.]
Guardians of the Galaxy Vol. 2,['200000000'],[8.63416141e+08],[6.63416141e+08]
Baby Driver,['34000000'],[2.24511319e+08],[1.90511319e+08]
Bridge of Spies,['40000000'],[1.65478348e+08],[1.25478348e+08]
Moana,['0' '150000000'],[0.00000000e+00 6.43034466e+08],[0.00000000e+00 6.43034466e+08]
Moana,['0' '150000000'],[0.00000000e+00 6.43034466e+08],[0.00000000e+00 6.43034466e+08]
Sicario,['30000000' '0'],[84025816.        0.],[ 54025816. -30000000.]
Sicario,['30000000' '0'],[84025816.        0.],[ 54025816. -30000000.]
Creed,['37000000'],[1.73567581e+08],[1.36567581e+08]
Hell or High Water,['12000000'],[37589296.],[25589296.]
Philomena,['12000000'],[1.00129872e+08],[88129872.]
Dawn of the Planet of the Apes,['170000000'],[7.10644566e+08],[5.40644566e+08]
El cuerpo,['0'],[0.],[0.]
Serbuan maut,['1100000'],[4105187.],[3005187.]
End of Watch,['7000000'],[48126384.],[41126384.]
A Star Is Born,['0' '5019770' '6000000'],[0.00e+00 0.00e+00 1.61e+08],[0.00e+00 0.00e+00 1.61e+08]
A Star Is Born,['0' '5019770' '6000000'],[0.00e+00 0.00e+00 1.61e+08],[0.00e+00 0.00e+00 1.61e+08]
A Star Is Born,['0' '5019770' '6000000'],[0.00e+00 0.00e+00 1.61e+08],[0.00e+00 0.00e+00 1.61e+08]
True Grit,['0' '38000000'],[1.42500000e+07 2.52276927e+08],[1.42500000e+07 2.52276927e+08]
True Grit,['0' '38000000'],[1.42500000e+07 2.52276927e+08],[1.42500000e+07 2.52276927e+08]
H�vnen,['15000000'],[0.],[-15000000.]
Despicable Me,['69000000'],[5.43513985e+08],[4.74513985e+08]
50/50,['8000000'],[39187783.],[31187783.]
Kick-Ass,['28000000'],[96188903.],[68188903.]
Celda 211,['5700000'],[19300483.],[13600483.]
Moneyball,['50000000'],[1.10206216e+08],[60206216.]
La piel que habito,['13000000'],[5774854.],[-7225146.]
Zombieland,['23600000'],[1.02391382e+08],[78791382.]
Die Welle,['7500000'],[19000000.],[11500000.]
Sherlock Holmes,['90000000' '1000000' '0' '0'],[5.24028679e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00],[ 4.34028679e+08 -9.00000000e+07 -9.00000000e+07 -9.00000000e+07]
Sherlock Holmes,['90000000' '1000000' '0' '0'],[5.24028679e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00],[ 4.34028679e+08 -9.00000000e+07 -9.00000000e+07 -9.00000000e+07]
Sherlock Holmes,['90000000' '1000000' '0' '0'],[5.24028679e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00],[ 4.34028679e+08 -9.00000000e+07 -9.00000000e+07 -9.00000000e+07]
Sherlock Holmes,['90000000' '1000000' '0' '0'],[5.24028679e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00],[ 4.34028679e+08 -9.00000000e+07 -9.00000000e+07 -9.00000000e+07]
The Blind Side,['29000000'],[3.09208309e+08],[2.80208309e+08]
The Visitor,['0'],[9234510.],[9234510.]
Seven Pounds,['55000000'],[1.68167691e+08],[1.13167691e+08]
Eastern Promises,['51500000'],[55112356.],[3612356.]
Stardust,['70000000' '0'],[1.35560026e+08 0.00000000e+00],[ 65560026. -70000000.]
Stardust,['70000000' '0'],[1.35560026e+08 0.00000000e+00],[ 65560026. -70000000.]
The Secret of Kells,['0'],[0.],[0.]
Inside Man,['45000000'],[1.84376254e+08],[1.39376254e+08]
Gone Baby Gone,['19000000'],[34619699.],[15619699.]
The Illusionist,['40000000'],[86915017.],[46915017.]
Dead Man's Shoes,['0'],[0.],[0.]
Harry Potter and the Half-Blood Prince,['250000000'],[9.33959197e+08],[6.83959197e+08]
300,['65000000'],[4.22610419e+08],[3.57610419e+08]
Match Point,['15000000'],[85306374.],[70306374.]
Watchmen,['130000000'],[1.85258983e+08],[55258983.]
Lord of War,['42000000'],[24127895.],[-17872105.]
Saw,['1200000' '0'],[1.03911669e+08 0.00000000e+00],[ 1.02711669e+08 -1.20000000e+06]
Saw,['1200000' '0'],[1.03911669e+08 0.00000000e+00],[ 1.02711669e+08 -1.20000000e+06]
"Synecdoche, New York",['21000000'],[0.],[-21000000.]
Mysterious Skin,['0'],[1524966.],[1524966.]
Jeux d'enfants,['0'],[0.],[0.]
Un long dimanche de fian�ailles,['47000000'],[0.],[-47000000.]
The Station Agent,['500000'],[8679814.],[8179814.]
21 Grams,['20000000'],[60427839.],[40427839.]
Finding Neverland,['25000000'],[1.16766556e+08],[91766556.]
25th Hour,['15000000'],[13060843.],[-1939157.]
The Butterfly Effect,['13000000'],[96060858.],[83060858.]
The Royal Tenenbaums,['21000000'],[71441250.],[50441250.]
Y tu mam� tambi�n,['5000000'],[33616692.],[28616692.]
The Others,['0'],[0.],[0.]
Blow,['53000000'],[83282296.],[30282296.]
Enemy at the Gates,['68000000'],[96976270.],[28976270.]
Minority Report,['102000000'],[3.58372926e+08],[2.56372926e+08]
The Hurricane,['50000000' '2000000'],[73956241.        0.],[ 23956241. -50000000.]
The Hurricane,['50000000' '2000000'],[73956241.        0.],[ 23956241. -50000000.]
American Psycho,['7000000'],[34266564.],[27266564.]
Lola rennt,['1530000'],[7267585.],[5737585.]
The Thin Red Line,['52000000'],[98126565.],[46126565.]
Mulan,['90000000'],[3.04320254e+08],[2.14320254e+08]
Fear and Loathing in Las Vegas,['18500000'],[10680275.],[-7819725.]
Funny Games,['0' '15000000'],[      0. 7938872.],[      0. 7938872.]
Funny Games,['0' '15000000'],[      0. 7938872.],[      0. 7938872.]
Dark City,['27000000' '0'],[27200316.        0.],[   200316. -27000000.]
Dark City,['27000000' '0'],[27200316.        0.],[   200316. -27000000.]
Sleepers,['44000000'],[1.65615285e+08],[1.21615285e+08]
Lost Highway,['15000000'],[3675201.],[-11324799.]
Sense and Sensibility,['16500000' '0' '0' '0'],[1.35e+08 0.00e+00 0.00e+00 0.00e+00],[ 1.185e+08 -1.650e+07 -1.650e+07 -1.650e+07]
Sense and Sensibility,['16500000' '0' '0' '0'],[1.35e+08 0.00e+00 0.00e+00 0.00e+00],[ 1.185e+08 -1.650e+07 -1.650e+07 -1.650e+07]
Sense and Sensibility,['16500000' '0' '0' '0'],[1.35e+08 0.00e+00 0.00e+00 0.00e+00],[ 1.185e+08 -1.650e+07 -1.650e+07 -1.650e+07]
Sense and Sensibility,['16500000' '0' '0' '0'],[1.35e+08 0.00e+00 0.00e+00 0.00e+00],[ 1.185e+08 -1.650e+07 -1.650e+07 -1.650e+07]
Die Hard: With a Vengeance,['90000000'],[3.66101666e+08],[2.76101666e+08]
Dead Man,['9000000'],[0.],[-9000000.]
The Bridges of Madison County,['24000000'],[1.82016617e+08],[1.58016617e+08]
Apollo 13,['52000000'],[3.55237933e+08],[3.03237933e+08]
Falling Down,['25000000'],[40903593.],[15903593.]
Dazed and Confused,['6900000'],[7993039.],[1093039.]
My Cousin Vinny,['11000000'],[64088552.],[53088552.]
Delicatessen,['4000000'],[1794187.],[-2205813.]
Home Alone,['18000000'],[4.76684675e+08],[4.58684675e+08]
The Godfather: Part III,['54000000'],[1.36766062e+08],[82766062.]
When Harry Met Sally...,['16000000'],[92823546.],[76823546.]
The Little Mermaid,['40000000'],[2.223e+08],[1.823e+08]
The Naked Gun: From the Files of Police Squad!,['12000000'],[78756177.],[66756177.]
Lethal Weapon,['15000000'],[1.20207127e+08],[1.05207127e+08]
Blood Simple,['1500000'],[0.],[-1500000.]
On Golden Pond,['0'],[19255967.],[19255967.]
Mad Max 2,['2000000'],[24600832.],[22600832.]
The Warriors,['4000000'],[22490039.],[18490039.]
The Muppet Movie,['0'],[76657000.],[76657000.]
Escape from Alcatraz,['8000000'],[43000000.],[35000000.]
Watership Down,['1000000'],[3713768.],[2713768.]
Midnight Express,['2300000'],[35000000.],[32700000.]
Close Encounters of the Third Kind,['20000000'],[3.03788635e+08],[2.83788635e+08]
The Long Goodbye,['0'],[0.],[0.]
Gi� la testa,['0'],[0.],[0.]
Kelly's Heroes,['4000000'],[5200000.],[1200000.]
The Jungle Book,['0' '4000000' '175000000'],[0.00000000e+00 2.05843612e+08 9.66550600e+08],[0.00000000e+00 2.05843612e+08 9.66550600e+08]
The Jungle Book,['0' '4000000' '175000000'],[0.00000000e+00 2.05843612e+08 9.66550600e+08],[0.00000000e+00 2.05843612e+08 9.66550600e+08]
The Jungle Book,['0' '4000000' '175000000'],[0.00000000e+00 2.05843612e+08 9.66550600e+08],[0.00000000e+00 2.05843612e+08 9.66550600e+08]
A Hard Day's Night,['560000'],[12299668.],[11739668.]
Breakfast at Tiffany's,['2500000'],[9500000.],[7000000.]
Giant,['5400000'],[35000000.],[29600000.]
From Here to Eternity,['1650000'],[30500000.],[28850000.]
Lifeboat,['1590000'],[0.],[-1590000.]
The 39 Steps,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
The 39 Steps,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
The 39 Steps,['0' '0' '0'],[0. 0. 0.],[0. 0. 0.]
