To Kill a Mockingbird,['2000000'],[13129846.],[11129846.]
Judgment at Nuremberg,['3000000'],[10000000.],[7000000.]
Some Like It Hot,['2883848'],[25000000.],[22116152.]
Smultronst�llet,['0'],[0.],[0.]
Det sjunde inseglet,['0'],[0.],[0.]
Du rififi chez les hommes,['0'],[460226.],[460226.]
Dial M for Murder,['1400000'],[3000000.],[1600000.]
All About Eve,['1400000'],[63463.],[-1336537.]
The Treasure of the Sierra Madre,['3800000'],[4307000.],[507000.]
To Be or Not to Be,['0' '0'],[       0. 13030214.],[       0. 13030214.]
To Be or Not to Be,['0' '0'],[       0. 13030214.],[       0. 13030214.]
The Gold Rush,['923000'],[2500000.],[1577000.]
Pink,['75000000'],[0.],[-75000000.]
Contratiempo,['4000000'],[0.],[-4000000.]
Mommy,['4900000' '0'],[3494070.       0.],[-1405930. -4900000.]
Mommy,['4900000' '0'],[3494070.       0.],[-1405930. -4900000.]
Haider,['0'],[0.],[0.]
Logan,['135000' '97000000'],[1.04740000e+04 6.16801808e+08],[-1.24526000e+05  6.16666808e+08]
Logan,['135000' '97000000'],[1.04740000e+04 6.16801808e+08],[-1.24526000e+05  6.16666808e+08]
Room,['6000000' '0'],[35401758.        0.],[29401758. -6000000.]
Room,['6000000' '0'],[35401758.        0.],[29401758. -6000000.]
Relatos salvajes,['0'],[27007072.],[27007072.]
PK,['13000000'],[1.2e+08],[1.07e+08]
OMG: Oh My God!,['0'],[0.],[0.]
The Grand Budapest Hotel,['30000000'],[1.74600318e+08],[1.44600318e+08]
Gone Girl,['61000000'],[3.69330363e+08],[3.08330363e+08]
Hacksaw Ridge,['40000000'],[1.75302354e+08],[1.35302354e+08]
Inside Out,['0' '175000000' '0'],[0.00000000e+00 8.57611174e+08 0.00000000e+00],[0.00000000e+00 8.57611174e+08 0.00000000e+00]
Inside Out,['0' '175000000' '0'],[0.00000000e+00 8.57611174e+08 0.00000000e+00],[0.00000000e+00 8.57611174e+08 0.00000000e+00]
Inside Out,['0' '175000000' '0'],[0.00000000e+00 8.57611174e+08 0.00000000e+00],[0.00000000e+00 8.57611174e+08 0.00000000e+00]
Barfi!,['4437508'],[2804874.],[-1632634.]
12 Years a Slave,['20000000'],[1.87e+08],[1.67e+08]
Rush,['0' '38000000'],[       0. 90247624.],[       0. 90247624.]
Rush,['0' '38000000'],[       0. 90247624.],[       0. 90247624.]
Spotlight,['20000000'],[88346473.],[68346473.]
Song of the Sea,['0'],[857522.],[857522.]
Kahaani,['1200000'],[16000000.],[14800000.]
Zindagi Na Milegi Dobara,['0'],[0.],[0.]
Prisoners,['46000000'],[1.22126687e+08],[76126687.]
Mad Max: Fury Road,['150000000'],[3.7885834e+08],[2.2885834e+08]
Gran Torino,['33000000'],[2.69958228e+08],[2.36958228e+08]
Harry Potter and the Deathly Hallows: Part 2,['125000000'],[1.342e+09],[1.217e+09]
Hachi: A Dog's Tale,['16000000'],[47801389.],[31801389.]
Mary and Max,['590235'],[1725381.],[1135146.]
How to Train Your Dragon,['165000000'],[4.94878759e+08],[3.29878759e+08]
Into the Wild,['15000000'],[56255142.],[41255142.]
No Country for Old Men,['25000000'],[1.716e+08],[1.466e+08]
Lage Raho Munna Bhai,['0'],[0.],[0.]
Million Dollar Baby,['30000000'],[2.16763646e+08],[1.86763646e+08]
Hotel Rwanda,['17500000'],[38000000.],[20500000.]
Before Sunset,['2700000'],[15992615.],[13292615.]
Munna Bhai M.B.B.S.,['0'],[0.],[0.]
Dil Chahta Hai,['2079000'],[4099000.],[2020000.]
Kill Bill: Vol. 1,['30000000'],[1.80949e+08],[1.50949e+08]
Finding Nemo,['94000000'],[9.40335536e+08],[8.46335536e+08]
Catch Me If You Can,['52000000' '0'],[3.52114312e+08 0.00000000e+00],[ 3.00114312e+08 -5.20000000e+07]
Catch Me If You Can,['52000000' '0'],[3.52114312e+08 0.00000000e+00],[ 3.00114312e+08 -5.20000000e+07]
Amores perros,['2000000'],[20908467.],[18908467.]
"Monsters, Inc.",['115000000'],[5.62816256e+08],[4.47816256e+08]
The Sixth Sense,['40000000'],[6.72806292e+08],[6.32806292e+08]
La leggenda del pianista sull'oceano,['9000000'],[0.],[-9000000.]
The Truman Show,['60000000'],[2.64118201e+08],[2.04118201e+08]
The Big Lebowski,['15000000'],[46189568.],[31189568.]
Trainspotting,['4000000'],[16491080.],[12491080.]
Fargo,['7000000'],[60611975.],[53611975.]
Underground,['0' '0'],[0. 0.],[0. 0.]
Underground,['0' '0'],[0. 0.],[0. 0.]
Dilwale Dulhania Le Jayenge,['13200000'],[1.e+08],[86800000.]
Before Sunrise,['2500000'],[5535405.],[3035405.]
Jurassic Park,['63000000'],[9.201e+08],[8.571e+08]
In the Name of the Father,['13000000'],[65796862.],[52796862.]
Dead Poets Society,['16400000'],[2.35860116e+08],[2.19460116e+08]
Stand by Me,['8000000'],[52287414.],[44287414.]
Platoon,['6000000'],[1.38530565e+08],[1.32530565e+08]
"Paris, Texas",['1746964'],[2181987.],[435023.]
The Thing,['15000000' '35000000'],[19629760. 28128670.],[ 4629760. 13128670.]
The Thing,['15000000' '35000000'],[19629760. 28128670.],[ 4629760. 13128670.]
Pink Floyd: The Wall,['12000000'],[22244207.],[10244207.]
Fitzcarraldo,['7362000'],[0.],[-7362000.]
Fanny och Alexander,['0'],[4971340.],[4971340.]
Blade Runner,['28000000'],[33139618.],[5139618.]
The Elephant Man,['5000000' '0'],[26010864.        0.],[21010864. -5000000.]
The Elephant Man,['5000000' '0'],[26010864.        0.],[21010864. -5000000.]
Life of Brian,['4000000'],[20045115.],[16045115.]
The Deer Hunter,['15000000'],[50000000.],[35000000.]
Rocky,['1000000'],[1.17235147e+08],[1.16235147e+08]
Network,['3800000'],[23689877.],[19889877.]
Barry Lyndon,['11000000'],[20000000.],[9000000.]
Chinatown,['6000000'],[30000000.],[24000000.]
Paper Moon,['0'],[0.],[0.]
Viskningar och rop,['0'],[0.],[0.]
Solaris,['47000000'],[30002758.],[-16997242.]
Cool Hand Luke,['3000000'],[16217773.],[13217773.]
Persona,['0'],[0.],[0.]
La battaglia di Algeri,['800000'],[921548.],[121548.]
El �ngel exterminador,['0'],[0.],[0.]
What Ever Happened to Baby Jane?,['980000'],[0.],[-980000.]
The Man Who Shot Liberty Valance,['3200000'],[8000000.],[4800000.]
Jungfruk�llan,['0'],[0.],[0.]
Inherit the Wind,['0' '0'],[0. 0.],[0. 0.]
Inherit the Wind,['0' '0'],[0. 0.],[0. 0.]
Ben-Hur,['15000000' '100000000'],[1.4690000e+08 9.4061311e+07],[1.3190000e+08 7.9061311e+07]
Ben-Hur,['15000000' '100000000'],[1.4690000e+08 9.4061311e+07],[1.3190000e+08 7.9061311e+07]
Le notti di Cabiria,['0'],[752045.],[752045.]
The Bridge on the River Kwai,['3000000'],[27200000.],[24200000.]
On the Waterfront,['910000'],[9600000.],[8690000.]
Le salaire de la peur,['0'],[0.],[0.]
Ace in the Hole,['1821052'],[1300000.],[-521052.]
White Heat,['0'],[0.],[0.]
The Third Man,['0'],[596349.],[596349.]
The Red Shoes,['500000'],[0.],[-500000.]
The Shop Around the Corner,['0'],[0.],[0.]
Rebecca,['1288000'],[6000000.],[4712000.]
Mr. Smith Goes to Washington,['1500000'],[9600000.],[8100000.]
Gone with the Wind,['4000000'],[4.00176459e+08],[3.96176459e+08]
La Grande Illusion,['0'],[0.],[0.]
It Happened One Night,['325000'],[4500000.],[4175000.]
La passion de Jeanne d'Arc,['0'],[0.],[0.]
The Circus,['9000000'],[0.],[-9000000.]
Sunrise: A Song of Two Humans,['0'],[121.],[121.]
The General,['0' '750000'],[1214198.       0.],[1214198.       0.]
The General,['0' '750000'],[1214198.       0.],[1214198.       0.]
Das Cabinet des Dr. Caligari,['18000'],[0.],[-18000.]
Airlift,['4500000'],[32000000.],[27500000.]
Bajrangi Bhaijaan,['14000000'],[98000000.],[84000000.]
Baby,['0'],[0.],[0.]
La La Land,['30000000'],[4.454357e+08],[4.154357e+08]
Lion,['12000000'],[1.40302754e+08],[1.28302754e+08]
The Martian,['108000000'],[6.3016189e+08],[5.2216189e+08]
Zootopia,['150000000'],[1.0237842e+09],[8.73784195e+08]
Short Term 12,['0'],[1600000.],[1600000.]
The Imitation Game,['14000000'],[2.33555708e+08],[2.19555708e+08]
